date,total_cost,plan_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-06-27,28249.510762150876,28249.510762150876,0.0,0.0,33798.877513333326,1200.0,1200.0
2025-06-28,30912.24233828674,30912.24233828674,0.0,0.0,30368.326393083335,1200.0,7950.0
2025-06-29,58073.93776014837,57340.63522848408,733.3025316642921,189.8578048333334,13635.98922625,7950.0,1950.0
2025-06-30,61582.97148452848,59276.61880994248,2306.352674585999,542.3940529166665,13239.3485905,1950.0,1200.0
2025-07-01,82200.48568409594,65980.98871208316,16219.49697201279,4195.628382583333,9541.451194833335,1200.0,1200.0
2025-07-02,81048.0939304501,64338.43771888805,16709.656211562033,4236.408997999999,13739.214052416666,1200.0,1950.0
2025-07-03,83645.36730275501,63655.208194404666,19990.159108350337,4827.20757475,6043.559257750001,1950.0,1200.0
2025-07-04,32935.648691442606,31626.24088233411,1309.4078091084987,533.9401759166665,23679.47755808333,1200.0,1950.0
2025-07-05,34540.09617269991,33454.640005427325,1085.456167272583,508.6938549999996,23060.729113499998,1950.0,7950.0
2025-07-06,80355.61200413332,58447.960620444166,21907.65138368916,4889.905563666665,4385.410999416667,7950.0,1950.0
2025-07-07,71679.9500734809,65067.48536042574,6612.464713055166,1840.4676594999992,12203.374105083334,1950.0,1950.0
2025-07-08,71597.61977556691,66162.41101741458,5435.20875815233,1190.1836761666657,11586.287906083337,1950.0,1200.0
2025-07-09,69545.75812896316,65447.349646472416,4098.408482490746,900.6751204999991,11049.428569916672,1200.0,1950.0
2025-07-10,67656.9067309261,63122.73844262585,4534.16828830025,1061.0947863333336,10448.440586833338,1950.0,1200.0
2025-07-11,31788.074357397214,31757.201719486005,30.872637911208397,13.905821083333393,18656.792114833333,1200.0,1200.0
2025-07-12,33897.001986864365,33862.277949864365,34.72403700000045,13.078733333333503,19116.867538083337,1200.0,7050.0
2025-07-13,61925.08309243508,58272.40187477171,3652.6812176633707,704.0252311666659,12967.38393575,7050.0,1950.0
2025-07-14,64441.237496967675,60948.367774006474,3492.869722961201,658.6340826666657,9414.433822666666,1950.0,1200.0
2025-07-15,66428.81346275807,65085.18620165637,1343.6272611017084,420.73379958333345,11941.245515749999,1200.0,1200.0
2025-07-16,66730.57532603707,62675.98597769973,4054.58934833733,927.3130460833322,9417.405641166668,1200.0,1200.0
2025-07-17,64616.76065818939,62012.56904626143,2604.191611927961,540.9878987500003,7985.083610833332,1200.0,1200.0
2025-07-18,31434.906932930586,31434.906932930586,0.0,0.0,19147.008676083333,1200.0,1200.0
2025-07-19,34747.25577283451,34742.27769568034,4.978077154166691,1.695241666666675,23489.67472733333,1200.0,7050.0
